年度,股票代號,股票名稱,現金股利連N年遞增,連續N年發放現金股利,現金股利排名,現金股利殖利率排名
2025,6541,泰福-KY,0.0,-11.0,1484.0,1484.0
2025,6547,高端疫苗,0.0,-12.0,1484.0,1484.0
2025,6550,北極星藥業-KY,0.0,-11.0,1484.0,1484.0
2025,6576,逸達,0.0,-11.0,1484.0,1484.0
2025,6578,達邦蛋白,-3.0,-1.0,1484.0,1484.0
2025,6589,台康生技,0.0,-10.0,1484.0,1484.0
2025,6669,緯穎,2.0,9.0,1.0,809.0
2025,6689,伊雲谷,0.0,9.0,687.0,725.0
2025,6712,長聖,-2.0,5.0,429.0,887.0
2025,6763,綠界科技*,1.0,7.0,485.0,121.0
2025,6770,力積電,0.0,-3.0,1484.0,1484.0
2025,6805,富世達,3.0,6.0,77.0,1304.0
2025,6869,雲豹能源,-2.0,5.0,687.0,784.0
2025,6873,泓德能源,-1.0,5.0,598.0,749.0
2025,6890,來億-KY,-1.0,3.0,131.0,419.0
2025,6919,康霈*,0.0,-4.0,1484.0,1484.0
2025,6944,兆聯實業,3.0,4.0,42.0,1059.0
2025,6962,奕力-KY,-1.0,3.0,1009.0,859.0
2025,7722,LINEPAY,0.0,2.0,845.0,1409.0
2025,8021,尖點,2.0,23.0,760.0,1433.0
2025,8028,昇陽半導體,2.0,12.0,575.0,1266.0
2025,8033,雷虎,0.0,-17.0,1484.0,1484.0
2025,8046,南電,1.0,12.0,687.0,1463.0
2025,8069,元太,2.0,11.0,229.0,798.0
2025,8070,長華*,2.0,24.0,574.0,373.0
2025,8096,擎亞,0.0,2.0,1226.0,1443.0
2025,8110,華東,1.0,6.0,900.0,825.0
2025,8111,立碁,-1.0,8.0,1185.0,1221.0
2025,8112,至上,1.0,17.0,404.0,494.0
2025,8299,群聯,-1.0,23.0,21.0,1236.0
2025,8358,金居,2.0,9.0,687.0,1437.0
2025,8390,金益鼎,9.0,19.0,405.0,661.0
2025,8422,可寧衛*,-2.0,16.0,973.0,505.0
2025,8454,富邦媒,-3.0,13.0,104.0,935.0
2025,8478,東哥遊艇,1.0,12.0,190.0,511.0
2025,8926,台汽電,3.0,27.0,663.0,804.0
2025,8932,智通*,3.0,3.0,1158.0,1334.0
2025,8936,國統,8.0,8.0,485.0,312.0
2025,8996,高力,3.0,16.0,315.0,1373.0
2025,9105,泰金寶-DR,-1.0,23.0,1445.0,868.0
2025,9904,寶成,-1.0,24.0,925.0,292.0
2025,9911,櫻花,6.0,19.0,269.0,216.0
2025,9933,中鼎,-2.0,28.0,1125.0,998.0
2025,9934,成霖,-2.0,3.0,1460.0,1240.0
2025,9939,宏全,7.0,28.0,205.0,370.0
2025,9941,裕融,0.0,26.0,345.0,264.0
2025,9945,潤泰新,0.0,3.0,985.0,530.0
2025,9958,世紀鋼,3.0,14.0,318.0,603.0
